product_id,product_name,category,brand,cost,supplier_id
0,! In the power of obsession (Place) D,Movie - DVD,Generic,34.8,SUP01
1,ABBYY FineReader 12 Professional Edition Full,Programs - Home and Office (Digital),Generic,2694.0,SUP07
2,*** In rays of glory (UNV) D,Movie - DVD,Generic,34.8,SUP01
3,*** BLACK WAVE (Univ) D,Movie - DVD,Generic,47.4,SUP01
4,***BACK (GLASS) D,Movie - DVD,Generic,34.8,SUP01
5,New American Graffiti (UNI) D,Movie - DVD,Generic,16.8,SUP01
6,***GATE BACK (UNI) D,Movie - DVD,Generic,60.0,SUP01
7,***Gate 2 (UNI) D,Movie - DVD,Generic,16.8,SUP01
8,*** Tea with Mussolini D,Movie - DVD,Generic,34.8,SUP01
9,SHOUGHARLAND EXPRESS (UNI) D,Movie - DVD,Generic,34.8,SUP01
10,Beyond Death D,Movie - DVD,Generic,16.8,SUP01
11,Deathline D,Movie - DVD,Generic,34.8,SUP01
12,Mihei and Jumanji Bitch love,Music - CD of local production,Generic,113.4,SUP06
13,*Saving Emile D,Movie - DVD,Generic,34.8,SUP01
14,* Crazy Professor/Magic/D,Movie - DVD,Generic,16.8,SUP01
15,Adrenalin: One Against All (Region),Movie - DVD,Generic,34.8,SUP01
16,//MONGOL S. Bodrov (Region),Movie - DVD,Generic,34.8,SUP01
17,// Not leaving a trace (Region),Movie - DVD,Generic,58.8,SUP01
18,/Bomb for the unknown /2DVD/D,Movie - DVD,Generic,34.8,SUP01
19,/GOLD COLLECTIVE M/F-72,Movie - DVD,Generic,16.8,SUP01
20,Once Upon a Time in China-2,Movie - DVD,Generic,34.8,SUP01
21,Last Chance,Movie - DVD,Generic,34.8,SUP01
22,EL CHARRO'S CLAIM,Movie - DVD,Generic,16.8,SUP01
23,/North and South /Part 2/,Movie - DVD,Generic,16.8,SUP01
24,DEADLY SCRIPTION,Movie - DVD,Generic,58.8,SUP01
25,YOU'RE TRUMP.,Movie - DVD,Generic,34.8,SUP01
26,/Multiplying Sorrow Volume 2 (Series 3-4),Movie - DVD,Generic,34.8,SUP01
27,"007 Legends [PS3, Russian version]",Games - PS3,Generic,876.74,SUP10
28,"007 Legends [PC, Jewel, Russian version]",PC Games - Standard Editions,Generic,186.01,SUP01
29,"007 Legends [Xbox 360, Russian version]",Games - XBOX 360,Generic,1055.57,SUP04
30,007: Skyfall Coordinates,Movie - DVD,Generic,194.21,SUP01
31,007: Skyfoll Coordinates (BD),Cinema - Blu-ray,Generic,347.18,SUP08
32,1st +1,Movie - DVD,Generic,149.78,SUP01
33,1+1 (BD),Cinema - Blu-ray,Generic,151.7,SUP08
34,"10,000 years before our WB era (region)",Movie - DVD,Generic,86.53,SUP01
35,10 years later,Movie - DVD,Generic,225.5,SUP01
36,10 YEARS LATER (BD),Cinema - Blu-ray,Generic,109.81,SUP08
37,10 YEARS LATER (Region),Movie - DVD,Generic,86.21,SUP01
38,10 Most Popular Film Comedies of the XX Century 10DVD (rem),Movie - Collective,Generic,1401.27,SUP02
39,10 Most Popular Homeland Comedies of the XX Century (BD),Movie - Collective,Generic,3487.97,SUP02
40,100 Best Classical Melodies (mp3-CD) (Digipack),Music - MP3,Generic,147.08,SUP08
41,100 Best relax melodies (mp3-CD) (CD-Digipack),Music - MP3,Generic,142.67,SUP08
42,100 Best Romantic Melodies (mp3-CD) (Digipack),Music - MP3,Generic,162.4,SUP08
43,EUR 100 MILLIONS,Movie - DVD,Generic,100.33,SUP01
44,Top 100 Melodies Against Stress (mp3-CD),Music - MP3,Generic,159.3,SUP08
45,Top 100 Folk Songs (mp3-CD) (CD-Digipack),Music - MP3,Generic,176.21,SUP08
46,Bach's 100 Best Works (mp3-CD) (Digipack),Music - MP3,Generic,144.63,SUP08
47,Beethoven's 100 Best Works (mp3-CD) (Digipack),Music - MP3,Generic,146.74,SUP08
48,Vivaldi's 100 Best Works (mp3-CD) (CD-Digipack),Music - MP3,Generic,145.8,SUP08
49,Mozart's 100 Best Works (mp3-CD) (Digipack),Music - MP3,Generic,162.94,SUP08
50,Rachmaninoff's 100 Best Works (mp3-CD) (Jewel),Music - MP3,Generic,149.4,SUP08
51,Top 100 Classics (mp3-CD) (Digipack),Music - MP3,Generic,159.42,SUP08
52,Top 100 Piano Music (mp3-CD) (CD-Digipack),Music - MP3,Generic,150.4,SUP08
53,Top 100 Russian Romances (mp3-CD) (CD-Digipack),Music - MP3,Generic,175.62,SUP08
54,Top 100 Gypsy Romances (mp3-CD) (CD-Digipack),Music - MP3,Generic,172.56,SUP08
55,100 Favorite Little Tales (mp3-CD),Books - Audiobooks,Generic,147.32,SUP04
56,100 favorite songs. Alexandra Pakhmutova (gift) (mp3-CD) (Jewel),Music - MP3,Generic,173.31,SUP08
57,100 poods of cartoons (gift) (mp3-CD) (Jewel),Music - MP3,Generic,172.28,SUP08
58,"100 Wonders of Russia [PC, Digital version]",Programs - Training (Digital),Generic,76.2,SUP09
59,100 masterpieces of classics (mp3-CD) (Digipack),Music - MP3,Generic,146.04,SUP08
60,1000 English phrases for all occasions (mp3-CD),Books - Audiobooks,Generic,146.91,SUP04
61,1000 and One Night 2CD (mp3-DVD),Books - Audiobooks,Generic,191.95,SUP04
62,"10,000 years BC WB (BD)",Cinema - Blu-ray,Generic,185.78,SUP08
63,101 Dalmatian wd,Movie - DVD,Generic,84.68,SUP01
64,101 Dalmatians 2 m/f (region),Movie - DVD,Generic,77.43,SUP01
65,101 Dalmatians 2: Patch's Adventures in London (BD),Cinema - Blu-ray,Generic,235.7,SUP08
66,101 Dalmatians M/F (BD),Cinema - Blu-ray,Generic,238.03,SUP08
67,101 dalmatinetz m/f (region),Movie - DVD,Generic,86.58,SUP01
68,"101 Dalmatians. Interactive Fairy Tale [PC-CD, Jewel]",PC Games - Standard Editions,Generic,16.8,SUP01
69,"101 tips for novice developers in the system ""1C:Enterprise 8"" [Digital version]",Books - Numbers,Generic,149.52,SUP05
70,101 tips for novice developers in the 1C:Enterprise 8 system. Khrustaleva E.Yu.,Books - Methodical materials 1C,Generic,209.11,SUP10
71,11 Ocean Friends WB (BD),Cinema - Blu-ray,Generic,320.08,SUP08
72,11 Ocean Friends WB (Region),Movie - DVD,Generic,69.6,SUP01
73,11-11-11 (region),Movie - DVD,Generic,31.27,SUP01
74,12 Ocean Friends WB (BD),Cinema - Blu-ray,Generic,311.4,SUP08
75,12 Ocean Friends WB (Region),Movie - DVD,Generic,85.26,SUP01
76,12 Years of Slavery (BD),Cinema - Blu-ray,Generic,293.46,SUP08
77,12 Years of Slavery (Region),Movie - DVD,Generic,185.61,SUP01
